date,id,YOLL1,YOLL2,YOLL3,humrel,meantemp,maxtemp,mintemp,o3,year,month,week,YLL,month_mean,yll_total,HW,HW_lag1,HW_lag2,HW_lag3,o3_lag1,o3_lag2,o3_lag3,HW_lag0_2,no2,no2_lag1,no2_lag2,no2_lag3,total_death
7/17/1990,47,783.25,432.07,815.42,71.5,22.9,27.9,18.5,45,1,2,7,2030.74,21.39427,2030.74,0,0,0,0,41.66667,,,0,34.39063,28.36141,24.96094,33.28125,28
7/18/1990,48,806.63,837.32,805.72,61.2,25.67,29.8,22.1,64.1667,1,2,7,2449.67,21.39427,2449.67,0,0,0,0,45,41.66667,,0,34.05781,34.39063,28.36141,24.96094,35
7/19/1990,49,743.67,1171.47,1169.69,57.6,24.79,28.3,21.7,34.5833,1,2,7,3084.83,21.39427,3084.83,0,0,0,0,64.16666,45,41.66667,0,23.62969,34.05781,34.39063,28.36141,45
7/22/1990,52,858.88,654.87,947.47,64,22.53,26.2,17.9,18.1818,1,2,8,2461.22,21.39427,2461.22,0,0,0,0,,,34.58333,0,14.53281,15.75313,14.81739,23.62969,37
7/23/1990,53,766.86,769.63,1239.55,82.8,18.69,22.8,17.7,9.58333,1,2,8,2776.04,21.39427,2776.04,0,0,0,0,18.18182,,,0,10.42813,14.53281,15.75313,14.81739,40
7/24/1990,54,560.94,500.52,480.74,73,21.63,25.6,17.8,19.5833,1,2,8,1542.2,21.39427,1542.2,0,0,0,0,9.583333,18.18182,,0,22.1875,10.42813,14.53281,15.75313,23
7/25/1990,55,1141.55,945.56,1123.62,73.3,21.93,26.7,17.4,17.0833,1,2,8,3210.73,21.39427,3210.73,0,0,0,0,19.58333,9.583333,18.18182,0,24.07344,22.1875,10.42813,14.53281,45
7/26/1990,56,1132.44,871.24,422.21,70,23.02,29.4,17.5,14.1667,1,2,8,2425.89,21.39427,2425.89,0,0,0,0,17.08333,19.58333,9.583333,0,20.63437,24.07344,22.1875,10.42813,33
7/27/1990,57,839.13,647.42,665.84,61.4,24.97,30.5,18.8,21.25,1,2,9,2152.39,21.39427,2152.39,1,0,0,0,14.16667,17.08333,19.58333,0.3333333,23.68224,20.63437,24.07344,22.1875,31
7/28/1990,58,1073.92,635.69,921.86,64.5,24.72,30.2,19,25,1,2,9,2631.47,21.39427,2631.47,1,1,0,0,21.25,14.16667,17.08333,0.6666667,21.3,23.68224,20.63437,24.07344,37
